时间,昵称,内容,类型
2026-09-06 12:33:58,Yutong,"各位，吃瓜总结已经阶段性上传，有兴趣的自取:
https://github.com/zhaoyutong43210/yow_NH2S_2026/tree/main",文本
2026-09-06 12:55:56,尼古拉斯·狗剩㍿,"6
引用：Yutong: 各位，吃瓜总结已经阶段性上传，有兴趣的自取:
https://github.com/zhaoyutong43210/yow_NH2S_2026/tree/main",引用消息
2026-09-06 15:36:33,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-06 15:37:16,NH2S,zyt长周末你都不出去玩的吗,文本
2026-09-06 15:37:51,NH2S,我在泳池边打喷嚏.. 果然你就写小作文了,文本
2026-09-06 15:38:09,NH2S,给阿妈的情书吗.. 虾虾侬 ,文本
2026-09-06 15:44:16,NH2S,你是不是学了啥陈真恋爱学,文本
2026-09-06 15:44:28,NH2S,快把那破书戒了吧哎,文本
2026-09-06 15:44:50,NH2S,我真的很烦我最近这么开心 还要老想到你.. ,文本
2026-09-06 16:36:00,,"<revokemsg>""Li jiaNing delorenzo"" 撤回了一条消息</revokemsg>",系统消息
2026-09-06 16:39:59,,"""廖岩""邀请""🍋龙儿🍋 ²⁰²⁶""加入了群聊",系统消息
2026-09-06 16:40:03,,"""张琤(cheng)然  Emma""邀请""卡尔""加入了群聊",系统消息
2026-09-06 16:40:33,,"你邀请""znl-🦌""加入了群聊  ",系统消息
2026-09-06 16:51:01,,"""廖岩""邀请""大大恐龙蛋""加入了群聊",系统消息
2026-09-06 17:02:31,FBI！OPEN UP,这不嗑瓜子的大妈吗,文本
2026-09-06 17:15:01,辰泽,太有趣了,文本
2026-09-06 17:15:08,辰泽,看了一下午,文本
2026-09-06 17:15:31,辰泽,真是给平平无奇的生活增加了一些趣味,文本
2026-09-06 17:16:00,辰泽,这种人是怎么长这么大的,文本
2026-09-06 17:17:27,,"<revokemsg>""辰泽"" 撤回了一条消息</revokemsg>",系统消息
2026-09-06 17:17:35,辰泽,btw群里有人玩单板刻滑嘛,文本
2026-09-06 17:20:07,迷路韬,【表情包】 ,表情包
2026-09-06 17:21:24,狄迪卫Rex,【图片】,图片
2026-09-06 17:21:38,狄迪卫Rex,卧槽。。。小红书直接给我改头像+改名[皱眉],文本
2026-09-06 17:22:00,🌊Chloé嘉ོ嘉ོ嘉ོ🐳,"@海龟蛋 这位
引用：辰泽: btw群里有人玩单板刻滑嘛",引用消息
2026-09-06 17:22:18,Jessica,"🙋
引用：辰泽: btw群里有人玩单板刻滑嘛",引用消息
2026-09-06 17:22:42,Yutong,"这位实力派
引用：单板&双板教练 Jessica: 🙋",引用消息
2026-09-06 17:23:29,Jessica,"有眼光[阴险]
引用：Yutong: 这位实力派",引用消息
2026-09-06 17:55:06,迷路韬,玩单板，不会刻滑,文本
2026-09-06 18:08:23,迷路韬,jessica我们好像,文本
2026-09-06 18:08:28,迷路韬,约过课,文本
2026-09-06 18:08:34,海龟蛋,"谢谢嘉姐 [坏笑]
引用：🌊Chloé嘉ོ嘉ོ嘉ོ🐳: @海龟蛋 这位",引用消息
2026-09-06 18:08:41,迷路韬,如果没记错的话，超强,文本
2026-09-06 18:12:47,尼古拉斯·狗剩㍿,刻画是啥,文本
2026-09-06 18:13:19,尼古拉斯·狗剩㍿,有放直板往下冲爽吗,文本
2026-09-06 18:15:49,Jessica,那还是冲粉最爽[旺柴],文本
2026-09-06 18:16:10,Jessica,"[抱拳]
引用：迷路韬: 如果没记错的话，超强",引用消息
2026-09-06 18:55:17,,"""辰泽""邀请""🍳""加入了群聊",系统消息
2026-09-06 18:55:17,,"""🍳""与群里其他人都不是朋友关系，请注意隐私安全",系统消息
2026-09-06 20:06:10,。,【图片】,图片
2026-09-06 20:06:43,。,啊这，是我阅读理解有问题吗？,文本
